developer_id,age,gender,city,state,marital_status,education_level,company_type,company_size,job_role,employment_type,experience_years,salary_lpa,years_in_current_company,promotion_last_2_years,remote_work_ratio,weekly_work_hours,weekend_work_frequency,night_shift_frequency,layoffs_seen_in_company,number_of_switches,primary_language,tech_stack,ai_tools_usage_hours_per_week,upskilling_hours_per_week,leetcode_problems_solved,certifications_count,side_projects_count,github_activity_score,interview_preparation_hours_weekly,stress_level,burnout_score,anxiety_score,sleep_hours,caffeine_intake_per_day,work_life_balance_rating,imposter_syndrome_score,social_media_usage_hours,physical_activity_days_per_week,therapy_or_counseling,layoff_anxiety_score,ai_replacement_fear_score,job_security_confidence,emergency_savings_months,linkedin_job_search_activity,applied_jobs_last_30_days,burnout_risk_category,likely_to_switch_job,mentally_exhausted,high_layoff_risk
Dev00182,24,Female,Bengaluru,Karnataka,Divorced,B.Tech,Government/Psu,5000+,Full Stack Developer,Full-Time,5.8,15.18,5.8,No,56,47.7,Never,Often,Yes - Moderate (5-20%),2,Python,Pytorch/Kubernetes,9.1,3.0,402.0,1.0,2.0,26.7,0.8,5.8,3.9,4.1,6.5,4.0,9.1,5.4,1.2,3,No,5.1,5.0,5.9,1.0,Medium,0,Low,No,Yes,No
Dev00183,22,Non-Binary,Noida,Uttar Pradesh,Married,B.Tech,Consulting,51-200,Data Scientist,Full-Time,6.0,29.93,3.1,No,0,39.4,Sometimes,Never,Yes - Major (>20%),3,Rust,Actix/Tokio/Aws,1.6,1.1,243.0,2.0,,33.7,2.9,3.6,3.9,3.3,9.1,0.0,6.3,6.4,2.1,2,No,5.3,6.1,6.9,8.0,Low,6,Low,No,No,No
Dev00184,31,Male,Delhi,Delhi,Single,Bca,Service-Based,201-1000,Frontend Developer,Freelance,1.4,13.18,1.4,No,42,51.0,Rarely,Never,Yes - Major (>20%),5,Kotlin,Android/Jetpack/Firebase,1.9,3.4,175.0,1.0,1.0,18.9,6.5,5.4,3.9,4.6,5.7,0.0,5.8,5.9,4.0,1,Yes - Occasionally,5.5,6.6,7.3,1.0,Very High,9,Low,Yes,No,No
Dev00185,27,Male,Chennai,Tamil Nadu,Single,B.Tech,Product-Based,5000+,Android Developer,Full-Time,10.5,42.35,1.0,No,62,45.4,Sometimes,Never,Yes - Minor (<5%),5,Kotlin,Android/Jetpack/Firebase,6.4,1.6,40.0,1.0,4.0,4.5,3.0,2.5,3.2,1.4,7.1,3.0,9.0,6.9,1.8,0,No,3.5,4.4,7.9,5.0,,3,Low,No,No,No
Dev00186,32,Male,Bengaluru,Karnataka,Married,Phd,Startup,51-200,Qa Engineer,Full-Time,21.1,55.39,2.2,No,45,59.4,Rarely,Never,Yes - Minor (<5%),3,Kotlin,Android/Jetpack/Firebase,4.0,0.6,84.0,2.0,4.0,40.6,16.1,5.2,6.8,4.7,8.2,4.0,5.6,5.9,6.9,2,No,4.5,6.5,6.5,6.0,Medium,2,High,No,Yes,No
Dev00187,30,Female,Bengaluru,Karnataka,Married,B.Tech,Startup,1-10,Frontend Developer,Full-Time,1.6,27.47,1.6,No,36,52.8,Sometimes,Sometimes,Yes - Major (>20%),1,Go,Gin/Grpc/Kubernetes,4.6,5.9,134.0,0.0,1.0,25.7,2.6,4.8,7.3,7.4,3.6,5.0,5.3,4.9,4.2,2,No,6.7,5.1,5.9,3.0,High,8,Medium,Yes,Yes,No
Dev00188,28,Male,Bengaluru,Karnataka,Married,B.Tech,Product-Based,1001-5000,Backend Developer,Full-Time,6.7,34.17,1.0,No,79,62.8,Often,Often,Yes - Minor (<5%),4,Java,Hibernate/Oracle/Jenkins,7.2,2.2,22.0,0.0,2.0,23.7,4.3,5.3,5.0,4.2,6.6,2.0,7.9,5.6,8.0,4,Yes - Regularly,6.0,6.7,6.2,1.0,Medium,3,Medium,No,No,No
Dev00189,24,Male,Mumbai,Maharashtra,Married,Mca,Product-Based,5000+,Backend Developer,Full-Time,1.3,35.55,0.8,Yes,85,46.5,Always,Never,Yes - Moderate (5-20%),3,Python,Django/Fastapi/Postgres,2.5,3.8,311.0,0.0,1.0,19.7,1.1,4.3,3.7,3.9,7.5,3.0,7.0,3.8,5.1,1,No,5.5,4.8,7.5,1.0,Low,4,Low,No,Yes,No
Dev00190,21,Prefer Not To Say,Noida,Uttar Pradesh,Married,B.Tech,Startup,11-50,Ml Engineer,Full-Time,1.8,11.98,0.4,No,39,46.4,Often,Never,Yes - Major (>20%),1,Python,Flask/Redis/Aws,2.5,4.0,57.0,2.0,1.0,23.8,0.1,2.4,3.9,1.7,5.9,0.0,6.4,2.9,3.6,0,No,5.0,8.9,8.0,6.0,High,10,Low,Maybe,No,No
Dev00191,26,Male,Bengaluru,Karnataka,Single,M.Tech,Consulting,51-200,Frontend Developer,Full-Time,2.8,17.14,1.0,Yes,3,44.5,Never,Sometimes,No,3,Typescript,Next.Js/Prisma/Vercel,2.8,4.5,2.0,1.0,3.0,50.3,0.3,3.3,2.0,1.5,7.3,1.0,7.4,5.7,2.8,2,Yes - Occasionally,3.8,6.7,9.4,3.0,Low,7,Low,No,No,No
Dev00192,32,Female,Delhi,Delhi,Married,Bca,Consulting,51-200,Backend Developer,Full-Time,8.9,24.1,1.4,No,0,38.5,Rarely,Sometimes,Yes - Moderate (5-20%),4,Go,Gin/Grpc/Kubernetes,0.4,7.4,68.0,1.0,,25.4,1.0,6.0,6.4,5.3,7.0,6.0,5.8,3.7,0.7,2,No,6.0,4.4,6.8,3.0,,2,Medium,Maybe,No,No
Dev00193,29,Male,Mumbai,Maharashtra,Single,B.Tech,Product-Based,1001-5000,Full Stack Developer,Full-Time,5.3,37.72,0.5,Yes,82,37.5,Often,Never,Yes - Moderate (5-20%),3,Typescript,Angular/Nestjs/Mysql,8.4,6.3,42.0,2.0,5.0,37.5,10.1,4.4,3.5,1.0,7.6,3.0,7.4,5.9,5.2,7,Yes - Occasionally,3.7,4.5,7.9,14.0,,0,Low,No,No,No
Dev00194,22,Female,Chennai,Tamil Nadu,In A Relationship,Mba Tech,Service-Based,5000+,Data Engineer,Full-Time,4.0,22.31,4.0,Yes,36,55.9,Often,Often,Yes - Minor (<5%),4,Javascript,Node/Express/Mongodb,2.7,7.1,172.0,1.0,2.0,20.4,5.4,3.0,4.9,3.9,6.0,9.0,6.4,1.3,0.5,2,No,3.9,3.4,7.1,16.0,High,12,Medium,Yes,Yes,No
Dev00195,29,Male,Indore,Madhya Pradesh,Married,B.Sc Cs,Product-Based,1001-5000,Qa Engineer,Full-Time,3.5,38.62,3.5,No,75,43.4,Rarely,Rarely,Yes - Major (>20%),4,Javascript,Vue/Django/Postgresql,2.5,8.4,235.0,0.0,0.0,34.2,0.3,3.5,4.4,4.7,4.1,1.0,5.6,6.9,,4,No,6.5,5.9,4.8,10.0,High,10,Low,Yes,No,No
Dev00196,30,Female,Bengaluru,Karnataka,Married,B.Tech,Service-Based,201-1000,Cybersecurity Analyst,Full-Time,3.6,13.11,3.6,No,22,59.9,Sometimes,Often,Yes - Major (>20%),0,Python,Flask/Redis/Aws,7.6,2.5,70.0,2.0,1.0,32.6,0.4,6.9,6.3,5.3,4.8,3.0,4.7,7.7,2.5,4,No,3.2,5.1,6.5,5.0,Very High,3,Medium,Maybe,Yes,No
Dev00197,23,Female,Ahmedabad,Gujarat,Single,B.Tech,Startup,51-200,Backend Developer,Full-Time,1.7,43.76,1.7,No,56,50.3,Sometimes,Never,Yes - Major (>20%),1,Java,Microservices/Kafka/Docker,1.4,7.9,450.0,2.0,1.0,35.2,7.2,4.6,4.4,4.2,5.0,3.0,7.4,4.4,5.3,0,No,5.6,6.0,5.6,6.0,High,3,Low,No,No,No
Dev00198,29,Male,Bengaluru,Karnataka,Single,B.E,Startup,1-10,Backend Developer,Full-Time,11.2,24.2,5.0,No,100,52.3,Often,Sometimes,Yes - Minor (<5%),1,Python,Pandas/Spark/Airflow,1.6,2.2,101.0,1.0,3.0,30.1,0.4,5.2,5.1,4.5,5.3,4.0,6.9,5.1,1.1,2,No,2.2,1.0,7.9,5.0,Low,3,Medium,No,No,No
Dev00199,28,Male,Pune,Maharashtra,Single,B.Tech,Service-Based,1001-5000,Backend Developer,Contract,5.5,13.98,3.8,Yes,24,51.1,Often,Never,No,2,Java,Spring Boot/Mysql/Aws,11.8,2.7,90.0,0.0,1.0,22.9,3.7,5.7,8.0,6.5,5.0,1.0,4.5,4.2,5.8,2,No,7.1,5.8,4.8,11.0,Medium,2,High,No,Yes,No
Dev00200,22,Male,Delhi,Delhi,Married,Bca,Product-Based,1001-5000,Data Engineer,Freelance,3.9,23.18,0.4,Yes,98,50.8,Often,Sometimes,No,1,Python,Flask/Redis/Aws,12.6,11.6,192.0,2.0,0.0,41.2,4.4,4.3,4.9,3.0,5.5,1.0,6.3,4.3,7.2,4,No,3.9,6.0,7.9,5.0,Low,5,Low,No,No,No
Dev00201,30,Male,Ahmedabad,Gujarat,Married,Mca,Service-Based,5000+,Full Stack Developer,Freelance,4.2,14.23,2.7,No,42,50.8,Often,Often,Yes - Moderate (5-20%),4,Java,Hibernate/Oracle/Jenkins,8.1,5.6,45.0,0.0,1.0,33.2,1.7,4.0,5.0,5.5,5.7,2.0,6.2,5.0,0.2,4,No,3.9,2.8,6.0,1.0,,7,Medium,Maybe,No,No
Dev00202,31,Female,Pune,Maharashtra,Single,B.Tech,Consulting,51-200,Data Scientist,Full-Time,12.7,35.38,6.9,Yes,21,47.1,Often,Never,Yes - Minor (<5%),2,Kotlin,Spring/Coroutines/Gcp,1.6,1.4,53.0,2.0,1.0,19.7,2.1,5.6,4.4,3.5,5.6,3.0,4.7,6.1,0.8,1,No,2.1,2.7,8.6,4.0,Low,4,Low,No,No,No
Dev00203,34,Male,Mumbai,Maharashtra,Married,B.Sc Cs,Product-Based,1001-5000,Full Stack Developer,Full-Time,6.8,42.7,1.3,No,39,39.0,Rarely,Never,No,5,Python,Flask/Redis/Aws,8.3,5.5,231.0,3.0,0.0,21.0,0.6,4.9,3.8,5.6,7.6,3.0,6.8,6.4,7.5,1,No,4.6,4.7,6.5,6.0,,3,Low,No,No,No
Dev00204,33,Male,Noida,Uttar Pradesh,Married,Bca,Service-Based,201-1000,Qa Engineer,Full-Time,1.6,9.79,1.6,Yes,39,52.9,Often,Never,Yes - Major (>20%),2,Javascript,React/Node/Firebase,12.5,0.8,18.0,2.0,2.0,25.8,3.8,3.1,3.0,2.1,6.1,3.0,9.0,5.9,8.0,4,Yes - Occasionally,7.8,8.2,7.2,3.0,Medium,3,Low,No,No,Yes
Dev00205,21,Male,Delhi,Delhi,Single,M.Tech,Startup,11-50,Full Stack Developer,Freelance,3.9,15.31,1.0,Yes,35,37.4,Sometimes,Never,Yes - Minor (<5%),3,Python,Pandas/Spark/Airflow,8.8,1.5,45.0,2.0,3.0,3.9,0.6,4.3,2.8,3.3,5.3,0.0,9.1,5.2,6.6,3,No,4.9,5.3,8.1,4.0,Medium,5,Low,No,No,No
Dev00206,23,Female,Bengaluru,Karnataka,Single,B.Sc Cs,Startup,51-200,Ml Engineer,Contract,2.5,27.49,2.5,Yes,16,63.7,Always,Rarely,No,2,Java,Spring Boot/Mysql/Aws,3.0,0.3,134.0,2.0,1.0,30.1,1.6,3.5,5.4,3.7,6.3,2.0,6.9,6.2,0.6,4,Yes - Regularly,2.9,4.6,8.4,2.0,Low,1,Medium,No,Yes,No
Dev00207,31,Non-Binary,Gurugram,Haryana,Married,Bca,Consulting,201-1000,Ios Developer,Full-Time,20.5,36.97,1.0,No,5,32.0,Often,Rarely,Yes - Minor (<5%),0,Java,Spring Boot/Mysql/Aws,1.1,5.7,126.0,4.0,4.0,43.2,,6.0,3.2,3.9,5.7,1.0,8.8,2.8,1.1,3,No,2.4,4.3,6.5,3.0,High,8,Low,Maybe,No,No
Dev00208,31,Male,Pune,Maharashtra,Married,B.Tech,Service-Based,5000+,Data Scientist,Full-Time,3.0,11.49,1.7,No,0,51.9,Sometimes,Rarely,Yes - Minor (<5%),2,Python,Django/Fastapi/Postgres,2.7,14.8,135.0,3.0,2.0,30.4,4.4,6.8,5.8,7.5,5.2,2.0,6.2,6.0,2.3,5,No,4.6,5.4,7.6,3.0,Medium,1,Medium,No,No,No
Dev00209,31,Male,Pune,Maharashtra,Married,B.E,Service-Based,1001-5000,Ml Engineer,Full-Time,0.5,17.52,0.5,No,43,39.7,Always,Rarely,Yes - Minor (<5%),1,Python,Pandas/Spark/Airflow,0.4,13.5,323.0,0.0,1.0,47.0,5.8,3.0,4.1,3.2,6.2,5.0,5.7,5.6,0.9,2,Yes - Occasionally,3.5,6.6,7.0,1.0,High,6,Low,Maybe,Yes,No
Dev00210,48,Male,Pune,Maharashtra,Single,Bca,Service-Based,201-1000,Data Scientist,Full-Time,4.2,5.32,1.2,Yes,64,44.4,Rarely,Never,Yes - Minor (<5%),2,Javascript,React/Node/Firebase,4.1,,34.0,2.0,3.0,13.1,3.9,2.9,2.4,3.0,7.2,1.0,7.7,4.9,5.4,3,No,5.2,5.6,3.9,4.0,,2,Low,No,No,No
Dev00211,31,Male,Pune,Maharashtra,In A Relationship,M.Tech,Consulting,51-200,Cloud Engineer,Part-Time,1.8,20.76,1.1,No,0,38.1,Sometimes,Rarely,No,4,C++,Embedded/Rtos/Bazel,0.5,0.9,76.0,0.0,1.0,12.0,0.5,5.3,2.5,5.5,6.1,4.0,7.8,6.6,3.2,2,No,3.2,3.4,6.4,1.0,Medium,4,Low,No,Yes,No
Dev00212,34,Male,Kochi,Kerala,Single,Bca,Startup,11-50,Frontend Developer,Full-Time,4.7,30.2,1.3,No,25,47.4,Never,Never,No,1,Php,Wordpress/Php8/Redis,4.1,9.3,58.0,1.0,1.0,30.3,1.2,2.8,5.4,3.9,5.6,1.0,6.0,6.1,3.8,2,No,2.0,4.3,9.0,1.0,,2,Medium,No,No,No
Dev00213,33,Male,Mumbai,Maharashtra,Single,Mca,Freelance,1-10,Frontend Developer,Full-Time,2.0,26.69,0.1,Yes,82,47.3,Sometimes,Rarely,Yes - Minor (<5%),1,Python,Pandas/Spark/Airflow,3.0,0.0,209.0,0.0,2.0,36.8,4.5,4.7,6.3,4.5,4.4,3.0,5.2,5.8,3.1,2,No,4.5,4.1,5.9,4.0,Medium,4,Medium,No,Yes,No
Dev00214,31,Male,Kochi,Kerala,Single,M.Tech,Product-Based,201-1000,Android Developer,Freelance,0.8,21.86,0.8,No,56,38.9,Sometimes,Rarely,Yes - Major (>20%),1,Kotlin,Android/Jetpack/Firebase,2.4,12.4,28.0,0.0,1.0,72.8,0.3,5.2,2.7,2.6,6.4,3.0,8.1,3.5,1.3,2,No,5.8,8.6,6.3,8.0,Low,4,Low,No,No,No
Dev00215,26,Male,Bengaluru,Karnataka,Single,Mca,Startup,51-200,Full Stack Developer,Full-Time,1.6,52.4,1.6,No,59,66.8,Sometimes,Never,Yes - Major (>20%),3,Python,Django/Fastapi/Postgres,1.7,6.1,143.0,1.0,2.0,13.3,1.6,5.4,6.2,5.9,5.9,4.0,5.3,4.6,1.1,1,Yes - Occasionally,7.7,8.0,3.6,5.0,Very High,8,Medium,Yes,Yes,Yes
Dev00216,32,Male,Noida,Uttar Pradesh,Single,B.Tech,Service-Based,5000+,Sre,Full-Time,2.4,19.4,0.5,Yes,25,35.0,Rarely,Never,No,2,C++,Qt/Cmake/Linux,8.9,1.0,688.0,1.0,1.0,20.9,5.1,1.9,1.2,1.0,6.0,3.0,10.0,5.4,0.4,3,No,2.1,5.1,9.1,2.0,Low,6,Low,No,No,No
Dev00217,24,Male,Gurugram,Haryana,Single,Mca,Product-Based,51-200,Devops Engineer,Full-Time,2.4,34.71,2.1,Yes,75,48.6,Sometimes,Never,Yes - Major (>20%),2,Javascript,React/Node/Firebase,4.0,4.2,61.0,3.0,3.0,37.3,1.3,5.7,5.9,6.0,6.8,1.0,5.8,4.3,5.7,2,No,5.8,3.6,7.6,1.0,Medium,1,Medium,No,No,No
Dev00218,27,Male,Chennai,Tamil Nadu,In A Relationship,B.Tech,Product-Based,1001-5000,Ml Engineer,Full-Time,8.3,51.85,8.3,Yes,41,51.1,Sometimes,Never,Yes - Minor (<5%),3,Python,Pytorch/Kubernetes,2.1,4.9,95.0,0.0,1.0,11.9,0.2,3.6,4.4,2.9,4.9,2.0,5.9,6.0,3.1,1,No,2.9,2.9,9.1,4.0,Low,7,Low,No,Yes,No
Dev00219,25,Female,Mumbai,Maharashtra,In A Relationship,B.Sc Cs,Startup,51-200,Backend Developer,Full-Time,1.7,4.56,1.7,No,60,32.9,Never,Sometimes,Yes - Minor (<5%),2,Python,Django/Fastapi/Postgres,6.0,1.6,85.0,2.0,4.0,7.9,1.0,2.4,3.3,2.8,6.8,1.0,7.6,4.1,2.0,1,No,4.8,8.7,5.7,1.0,High,6,Low,Maybe,Yes,No
Dev00220,28,Female,Mumbai,Maharashtra,Single,B.Tech,Service-Based,1001-5000,Qa Engineer,Full-Time,1.1,10.07,1.1,No,0,39.9,Rarely,Rarely,Yes - Minor (<5%),4,Python,Flask/Redis/Aws,4.3,9.5,117.0,1.0,1.0,11.6,5.8,3.6,4.9,4.5,7.2,0.0,6.5,4.7,0.7,4,No,2.0,6.5,9.0,14.0,Low,3,Low,No,No,No
Dev00221,40,Male,Delhi,Delhi,Married,B.Tech,Freelance,1-10,Qa Engineer,Full-Time,8.5,40.57,0.3,No,88,44.1,Always,Rarely,Yes - Major (>20%),0,Python,Flask/Redis/Aws,1.9,3.6,85.0,2.0,0.0,99.4,0.3,3.4,4.2,1.5,5.0,1.0,6.6,7.5,1.9,4,Yes - Occasionally,4.1,5.3,7.1,4.0,Medium,5,Low,No,Yes,No
Dev00222,21,Male,Delhi,Delhi,Married,B.Tech,Startup,11-50,Devops Engineer,Full-Time,9.3,38.89,3.4,Yes,37,61.6,Often,Never,Yes - Minor (<5%),0,Typescript,Next.Js/Prisma/Vercel,20.8,4.2,182.0,4.0,3.0,0.8,2.0,2.6,4.8,4.3,4.9,1.0,6.4,6.1,1.0,0,No,3.4,3.8,7.6,1.0,,4,Low,No,No,No
Dev00223,32,Female,Bengaluru,Karnataka,Married,Bca,Product-Based,1001-5000,Frontend Developer,Full-Time,4.4,148.79,3.1,No,44,44.1,Never,Rarely,No,3,Javascript,Vue/Django/Postgresql,7.1,10.9,23.0,1.0,1.0,10.6,0.2,6.0,6.1,4.4,3.8,2.0,7.8,6.4,4.4,3,No,4.9,6.7,8.5,7.0,,3,Medium,No,No,No
Dev00224,21,Female,Delhi,Delhi,Married,B.Sc Cs,Startup,1-10,Data Engineer,Contract,3.1,20.42,2.3,Yes,35,48.2,Always,Never,Yes - Major (>20%),3,C++,Embedded/Rtos/Bazel,6.1,5.3,96.0,2.0,,15.0,1.4,6.0,7.6,5.6,6.0,2.0,4.2,7.7,2.3,3,No,7.4,6.4,7.2,4.0,Low,1,High,No,No,Yes
Dev00225,26,Male,Pune,Maharashtra,Single,Mba Tech,Product-Based,1001-5000,Full Stack Developer,Full-Time,7.2,39.28,1.6,No,59,39.9,Sometimes,Never,Yes - Major (>20%),2,Javascript,Node/Express/Mongodb,1.3,4.5,128.0,2.0,1.0,29.5,3.1,4.7,3.4,3.2,5.7,2.0,5.9,6.8,0.6,5,Yes - Regularly,5.4,5.8,6.7,4.0,Very High,9,Low,Maybe,No,No
Dev00226,34,Male,Hyderabad,Telangana,Married,B.Tech,Service-Based,5000+,Backend Developer,Full-Time,1.4,14.0,1.4,No,0,42.1,Often,Never,Yes - Minor (<5%),2,Javascript,React/Node/Firebase,1.6,0.7,24.0,3.0,1.0,31.3,11.6,4.4,4.4,3.9,5.4,1.0,7.9,4.4,3.3,1,No,4.0,7.7,7.1,14.0,Low,6,Low,No,No,No
Dev00227,28,Male,Delhi,Delhi,Married,B.Sc Cs,Startup,11-50,Product Manager,Full-Time,13.0,40.9,1.8,No,3,58.2,Sometimes,Never,Yes - Minor (<5%),2,Python,Flask/Redis/Aws,4.2,3.9,26.0,1.0,1.0,23.5,3.9,3.1,3.5,2.8,5.3,6.0,7.4,7.4,4.5,4,No,3.8,4.2,8.6,13.0,,7,Low,No,No,No
Dev00228,22,Male,Pune,Maharashtra,Single,B.Tech,Freelance,1-10,Android Developer,Full-Time,10.4,41.41,4.1,Yes,85,45.6,Often,Sometimes,No,3,Javascript,React/Node/Firebase,11.1,12.3,69.0,3.0,3.0,18.9,11.8,2.5,4.1,2.4,6.5,1.0,6.3,9.1,0.7,4,No,2.3,3.7,9.7,5.0,Medium,6,Low,No,Yes,No
Dev00229,24,Male,Gurugram,Haryana,Divorced,B.Tech,Service-Based,5000+,Full Stack Developer,Full-Time,5.3,15.72,2.0,No,80,35.0,Often,Never,No,1,Java,Microservices/Kafka/Docker,3.3,,76.0,0.0,3.0,6.9,1.8,1.4,1.1,1.6,4.7,2.0,10.0,4.7,1.6,0,No,3.6,7.8,6.6,4.0,,2,Low,No,No,No
Dev00230,32,Male,Hyderabad,Telangana,Divorced,M.Tech,Freelance,1-10,Data Engineer,Contract,2.3,35.46,2.3,Yes,99,49.6,Never,Rarely,No,2,Java,Spring Boot/Mysql/Aws,0.8,1.7,315.0,1.0,0.0,44.5,3.0,5.4,4.7,3.5,6.7,2.0,8.0,3.9,,2,Yes - Occasionally,5.1,8.6,5.7,16.0,Medium,6,Low,No,No,No
Dev00231,24,Female,Bengaluru,Karnataka,Married,M.Tech,Startup,1-10,Backend Developer,Full-Time,0.6,13.81,0.3,No,16,42.1,Always,Never,Yes - Moderate (5-20%),2,C++,Qt/Cmake/Linux,4.0,8.8,25.0,0.0,1.0,6.1,2.3,6.1,5.3,6.2,6.4,3.0,7.2,4.4,5.3,4,No,7.7,6.1,5.3,,Medium,5,Medium,No,No,Yes
Dev00232,29,Male,Pune,Maharashtra,Married,B.Tech,Service-Based,5000+,Backend Developer,Full-Time,28.0,35.49,3.7,Yes,1,41.2,Often,Rarely,Yes - Minor (<5%),3,Typescript,Angular/Nestjs/Mysql,13.7,2.8,221.0,4.0,2.0,29.4,1.0,4.7,2.8,4.1,6.7,2.0,7.6,3.3,6.6,5,No,1.2,3.5,9.6,2.0,Low,6,Low,No,No,No
Dev00233,28,Male,Bengaluru,Karnataka,In A Relationship,B.Sc Cs,Service-Based,5000+,Qa Engineer,Full-Time,6.6,19.39,1.7,No,1,42.7,Rarely,Rarely,No,0,Python,Django/Fastapi/Postgres,4.3,0.4,32.0,1.0,2.0,9.4,3.3,5.0,3.8,3.8,5.7,4.0,9.7,6.3,1.4,4,No,4.5,6.3,6.6,2.0,Low,5,Low,No,No,No
Dev00234,25,Male,Noida,Uttar Pradesh,Single,Bca,Startup,1-10,Frontend Developer,Contract,2.5,19.96,0.9,No,56,41.0,Rarely,Rarely,Yes - Major (>20%),0,Scala,Spark/Akka/Kafka,8.5,3.3,229.0,1.0,2.0,0.0,7.4,3.3,3.9,3.9,5.4,2.0,7.6,5.7,5.4,3,No,7.1,8.0,5.5,22.0,High,6,Low,Maybe,Yes,Yes
Dev00235,39,Male,Hyderabad,Telangana,Single,B.Tech,Product-Based,5000+,Sre,Part-Time,1.9,18.61,1.9,No,95,47.3,Often,Sometimes,Yes - Moderate (5-20%),2,Python,Django/Fastapi/Postgres,9.1,7.2,78.0,1.0,3.0,12.9,3.9,4.8,6.1,6.5,4.5,5.0,6.6,7.1,1.6,2,No,5.3,10.0,7.3,3.0,Low,3,Medium,No,No,No
Dev00236,31,Male,Pune,Maharashtra,Single,B.Tech,Consulting,11-50,Cloud Engineer,Full-Time,5.7,31.67,4.3,No,43,32.3,Often,Sometimes,Yes - Major (>20%),3,Java,Spring Boot/Mysql/Aws,1.9,12.5,148.0,1.0,1.0,17.5,2.2,3.8,2.7,4.3,7.6,3.0,8.0,5.2,5.3,3,Yes - Occasionally,5.4,5.8,6.6,4.0,,6,Low,No,No,No
Dev00237,21,Male,Bengaluru,Karnataka,Married,M.Tech,Startup,1-10,Full Stack Developer,Full-Time,20.4,50.4,4.1,No,62,30.0,Never,Never,No,3,Javascript,Node/Express/Mongodb,4.3,5.5,49.0,1.0,0.0,18.9,6.9,4.9,1.9,2.4,8.2,2.0,9.2,6.8,1.4,5,No,2.8,4.6,7.5,6.0,High,11,Low,Maybe,No,No
Dev00238,29,Female,Hyderabad,Telangana,Married,B.Tech,Product-Based,1001-5000,Cybersecurity Analyst,Full-Time,6.1,35.83,0.4,Yes,82,52.6,Always,Never,Yes - Major (>20%),1,Typescript,Next.Js/Prisma/Vercel,0.8,9.1,216.0,0.0,4.0,46.5,6.3,3.8,4.8,4.8,6.8,2.0,6.9,5.3,4.1,2,Yes - Occasionally,3.6,4.5,7.3,3.0,,2,Low,No,No,No
Dev00239,25,Male,Gurugram,Haryana,Single,Phd,Government/Psu,1001-5000,Backend Developer,Freelance,0.9,12.39,0.7,No,19,41.6,Often,Sometimes,Yes - Major (>20%),3,C++,Embedded/Rtos/Bazel,1.4,6.9,99.0,3.0,3.0,11.9,4.3,3.6,3.7,4.8,6.0,5.0,6.7,5.7,2.2,5,Yes - Regularly,6.6,7.1,4.7,9.0,High,9,Low,Maybe,No,No
Dev00240,32,Female,Bengaluru,Karnataka,In A Relationship,M.Tech,Product-Based,1001-5000,Ml Engineer,Full-Time,2.8,48.73,1.8,Yes,85,43.3,Always,Sometimes,Yes - Major (>20%),6,Java,Microservices/Kafka/Docker,2.4,1.0,7.0,2.0,3.0,,3.3,3.4,3.8,1.8,6.9,2.0,7.1,5.2,2.7,5,No,3.0,4.6,9.1,3.0,,2,Low,No,Yes,No
Dev00241,24,Female,Chennai,Tamil Nadu,Married,B.Sc Cs,Consulting,51-200,Data Engineer,Full-Time,2.2,26.33,1.4,No,43,40.0,Sometimes,Often,Yes - Moderate (5-20%),1,Java,Microservices/Kafka/Docker,1.2,20.7,,1.0,1.0,21.7,6.2,2.2,2.6,1.0,5.5,3.0,10.0,5.1,8.0,4,No,3.0,5.3,8.3,,Low,4,Low,No,No,No
Dev00242,27,Male,Kolkata,West Bengal,Married,B.Sc Cs,Service-Based,201-1000,Cybersecurity Analyst,Full-Time,12.9,24.56,0.1,No,85,47.9,Never,Sometimes,Yes - Moderate (5-20%),0,Python,Flask/Redis/Aws,0.8,0.3,177.0,2.0,3.0,50.5,1.6,4.8,5.2,4.7,5.0,4.0,7.6,7.7,2.9,0,No,3.9,4.0,7.2,9.0,Low,6,Medium,No,Yes,No
Dev00243,31,Male,Chennai,Tamil Nadu,Single,Mca,Startup,1-10,Full Stack Developer,Full-Time,2.9,11.39,0.6,No,21,38.1,Always,Never,Yes - Moderate (5-20%),2,Go,Echo/Redis/Gcp,1.4,1.6,184.0,1.0,2.0,53.7,0.2,6.4,5.6,4.1,8.1,,6.4,6.4,1.7,4,No,6.4,5.3,4.7,3.0,Low,5,Medium,No,No,No
Dev00244,33,Male,Gurugram,Haryana,Single,B.Tech,Service-Based,1001-5000,Frontend Developer,Full-Time,6.1,17.75,1.3,No,37,48.8,Often,Never,Yes - Major (>20%),1,Typescript,Next.Js/Prisma/Vercel,6.2,7.2,81.0,0.0,1.0,48.9,0.7,4.5,5.6,6.0,5.8,3.0,5.5,8.2,3.1,2,No,6.1,6.4,6.4,1.0,Medium,3,Medium,No,No,No
Dev00245,22,Female,Bengaluru,Karnataka,Married,B.E,Startup,1-10,Frontend Developer,Full-Time,1.9,31.84,1.9,No,64,46.8,Never,Never,Yes - Minor (<5%),1,Python,Flask/Redis/Aws,1.0,0.7,24.0,4.0,0.0,17.2,5.4,1.8,4.7,3.5,6.9,1.0,5.4,5.5,5.0,2,No,4.7,7.4,6.3,2.0,High,5,Low,No,No,No
